"Store ID","Store Name","Address","Location Type","Store Size","Parking","Expenditure Band","Population Total","Male Population","Female Population","POI Category Counts"
"0bb3dc2a-9df3-42be-99fe-45b392b3714d","Alfamidi Cilangkap Depok","HV45+93Q, Jl. Cilangkap, Cilangkap, Kec. Tapos, Kota Depok, Jawa Barat 16458, Indonesia","Commercial Area","Large","Yes","high","47697.04661607742","24088.231998443604","23608.81578230858","Amusement and Recreation:2 | Civic and Social Organizations:5 | Eating Places:6 | Education:2 | Fashion and Apparel:1 | Grocery Stores:1 | Healthcare:1 | Retail:4 | Salon/Spa:2 | Services:1 | Transportation:1"
"b7f48ff4-f3f8-43fb-901c-72a533ca113c","Alfamidi Cipayung Depok","Jl. Raya Cipayung No.002, RT.006, Cipayung, Kec. Cipayung, Kota Depok, Jawa Barat 16437, Indonesia","Commercial Area","Large","Yes","high","43196.43253612518","21716.581012248997","21479.85265827179","Amusement and Recreation:4 | Civic and Social Organizations:3 | Eating Places:11 | Education:11 | Entertainment:1 | Fashion and Apparel:3 | Grocery Stores:3 | Healthcare:5 | Hotels:1 | Retail:3 | Services:1 | Transportation:2"
"26895402-b6fb-4e1e-9cf0-fca7abb093a4","Alfamidi Grogol","Jl. Pramuka Raya No.43, Grogol, Kec. Limo, Kota Depok, Jawa Barat 16514, Indonesia","Commercial Area","Large","Yes","high","30921.170692443848","15545.313998222353","15375.857400894163","Amusement and Recreation:1 | Auto and Gasoline Service Stations:1 | Automotive Dealers:1 | Civic and Social Organizations:3 | Eating Places:10 | Education:5 | Grocery Stores:3 | Healthcare:4 | Hotels:1 | Retail:4 | Salon/Spa:4 | Services:3 | Sports and Fitness Centers:1 | Transportation:1"
"b57bd4ed-2f9d-416e-9651-a21827138c73","Alfamart","Jl Ruko Metro Indah Mall Blok E7 &, Blk. E8, Jalan Margacinta, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","Mall","Large","Yes","high","8130.122467041016","4061.546321868897","4068.576141357422","Amusement and Recreation:5 | Auto and Gasoline Service Stations:4 | Automotive Dealers:9 | Children's Activities:1 | Civic and Social Organizations:20 | Eating Places:49 | Education:10 | Entertainment:6 | Fashion and Apparel:5 | Grocery Stores:4 | Healthcare:8 | Hotels:13 | Industrial and Commercial Zones:4 | Retail:24 | Salon/Spa:11 | Services:42 | Sports and Fitness Centers:2 | Transportation:15"
"dea2e224-afa4-43c9-900c-dd2fc8b9568e","Alfamidi","CJ2J+HX6, Yoka, Heram, Jayapura City, Papua 99351, Indonesia","Commercial Area","Large","Yes","high","44847.235819999245","23827.57360138209","21019.663333440025","Auto and Gasoline Service Stations:1 | Civic and Social Organizations:8 | Eating Places:1 | Salon/Spa:1 | Services:1"
"6fb9ea69-94da-446a-a44b-8b7d7227b403","Alfamidi parung panjang","Jl. Raya Parung Panjang Jl. Mohamad Toha No.Rt. 002/01, Parung Panjang, Kec. Parung Panjang, Kabupaten Bogor, Banten 15820, Indonesia","Commercial Area","Large","Yes","high","25731.51229071617","13179.414276957512","12552.098397612572","Amusement and Recreation:1 | Civic and Social Organizations:5 | Eating Places:5 | Education:3 | Grocery Stores:1 | Healthcare:3 | Retail:4 | Salon/Spa:1 | Services:2 | Sports and Fitness Centers:1"
"5e9e0726-bf98-48c8-829b-97c272b536bb","ALFAMIDI KEDAWUNG","Jl. Raya Kedawung No.87, Kedawung, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153, Indonesia","Commercial Area","Large","Yes","high","49086.675537109375","24780.51728916168","24306.15929508209","Amusement and Recreation:1 | Auto and Gasoline Service Stations:3 | Automotive Dealers:8 | Civic and Social Organizations:2 | Eating Places:16 | Education:1 | Fashion and Apparel:1 | Grocery Stores:3 | Healthcare:3 | Hotels:1 | Industrial and Commercial Zones:1 | Retail:8 | Salon/Spa:2 | Services:5 | Sports and Fitness Centers:1 | Transportation:2"
"11d772e6-4abb-4cfe-add7-7b5d74e7227e","Alfamart Tomang Baru Square","Ruko Tomang Baru Square, Kuta Jaya, Pasar Kemis, Tangerang Regency, Banten 15560, Indonesia","Mall","Large","Yes","high","10767.781025648115","5498.916277050972","5268.864918708801","Amusement and Recreation:2 | Automotive Dealers:1 | Civic and Social Organizations:7 | Eating Places:11 | Education:6 | Fashion and Apparel:1 | Grocery Stores:1 | Healthcare:1 | Hotels:3 | Retail:3 | Salon/Spa:2 | Services:3 | Sports and Fitness Centers:1"
"ce699433-f867-45f7-8e47-a983124f117e","Alfamidi Super Limo","Jl. Limo Raya No.36, RT.3/RW.2, Limo, Kec. Limo, Kota Depok, Jawa Barat 16514, Indonesia","Commercial Area","Large","Yes","high","22978.699892044067","11552.315072059631","11426.385405540466","Amusement and Recreation:2 | Auto and Gasoline Service Stations:4 | Civic and Social Organizations:4 | Eating Places:7 | Education:2 | Entertainment:1 | Fashion and Apparel:1 | Grocery Stores:2 | Retail:2 | Salon/Spa:5 | Services:4"
"7843a0d4-eb9a-49e5-8a82-a1d43ee44875","Alfamidi Mandala Rangkas","Jl. Raya Rangkasbitung Pandeglang No.421, Kaduagung Tengah, Kec. Cibadak, Kabupaten Lebak, Banten 42317, Indonesia","Commercial Area","Large","Yes","high","31624.90870451019","16212.905910512023","15412.00325712678","Auto and Gasoline Service Stations:1 | Automotive Dealers:4 | Eating Places:2 | Retail:1 | Services:4 | Transportation:1"
"a665ffe0-0884-46f9-966e-109f6764fdc9","Alfamidi Legenda Wisata","Jl. Alternatif Cibubur No.15, Nagrak, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16967, Indonesia","Commercial Area","Large","Yes","high","9664.69696044922","4952.9486293792725","4711.74849319458","Amusement and Recreation:5 | Auto and Gasoline Service Stations:1 | Automotive Dealers:1 | Civic and Social Organizations:5 | Eating Places:15 | Education:1 | Fashion and Apparel:1 | Grocery Stores:3 | Healthcare:4 | Hotels:1 | Retail:2 | Salon/Spa:1 | Services:3 | Transportation:2"
"c80b9deb-7630-44f0-a6b1-466ac7f95296","Alfamidi Roda Pembangunan","FRMJ+X3V, Nanggewer, Cibinong, Bogor Regency, West Java, Indonesia","Commercial Area","Large","Yes","high","26947.34607887268","13809.93336868286","13137.413204193115","Civic and Social Organizations:2 | Eating Places:1 | Education:1 | Entertainment:2 | Grocery Stores:1 | Industrial and Commercial Zones:1 | Retail:1 | Salon/Spa:2 | Services:4"
